,ID,text,select_text,sentiment,mood
1571,1572,i often feel that i m being submissive by not being open and honest about my desires and needs on a regular basis,often feel submissive open honest desire need regular basis,negative,"sadness
"
1572,1573,i feel the calm,feel calm,positive,"joy
"
1573,1574,ive been feeling reluctant intermittent and lacklustre to pen my thoughts down,ive feeling reluctant intermittent lacklustre pen thought,negative,"fear
"
1574,1575,i feel very numb at the moment,feel numb moment,negative,"sadness
"
1575,1576,i think i am still feeling a little groggy from that,think still feeling little groggy,negative,"sadness
"
1576,1577,i feel like im a violent mother,feel like violent mother,negative,"anger
"
1577,1578,i sure feel sorry for what happened to your friend diego he was your friend right,sure feel sorry happened friend diego friend right,negative,"sadness
"
1578,1579,i write this i still have that vaguely spacy feeling and im not sure ill be an effective human being,write still vaguely spacy feeling sure ill effective human,positive,"joy
"
1579,1580,i were to ever get married i d have everything ready to offer to him because i ve got it together and when i do go out to clubs even the perfect good looking guys feel intimated after talking to me about my clever self,ever get married everything ready offer got together club even perfect good looking guy feel intimated talking clever self,positive,"joy
"
1580,1581,i feel like i cant take it anymore i told my boyfriend and he is furious,feel like cant take anymore told boyfriend furious,negative,"anger
"
1581,1582,ive found myself feeling low and at other times sad,ive found feeling low time sad,negative,"sadness
"
1582,1583,i woke up feeling pretty rotten from the weekend this morning even though yesterday i felt fine,woke feeling pretty rotten weekend morning even though yesterday felt fine,negative,"sadness
"
1583,1584,i am nauseous and dizzy and feel all gloomy or at least not attached to my body anymore,nauseous dizzy feel gloomy least attached body anymore,negative,"sadness
"
1584,1585,i have been struggling with this feeling of being damaged,struggling feeling damaged,negative,"sadness
"
1585,1586,i am not in general feeling particularly virtuous this month,general feeling particularly virtuous month,positive,"joy
"
1586,1587,im feeling adventurous and my laundry hamper,feeling adventurous laundry hamper,positive,"joy
"
1587,1588,i feel blessed to have had years with him and i am thankful for all i learned from him,feel blessed year thankful learned,positive,"joy
"
1588,1589,i still pretty much feel ashamed and i m certain i m disappointed in my weaknesses i know for fact i am angry and upset and that s just for one situation,still pretty much feel ashamed certain disappointed weakness know fact angry upset one situation,negative,"sadness
"
1589,1590,i feel less valued cause i dont look good,feel valued cause dont look good,positive,"joy
"
1590,1591,i can feel their joy and excitement for the opportunity to receive these vital ordinances,feel joy excitement opportunity receive vital ordinance,positive,"joy
"
1591,1592,i feel that phrase implies a calm orderly procession in which i would remove the refuse from my,feel phrase implies calm orderly procession would remove refuse,positive,"joy
"
1592,1593,i can eat but allow myself one naughty item of my choice to avoid feeling deprived,eat allow one naughty item choice avoid feeling deprived,negative,"sadness
"
1593,1594,i proclaim to have lost a bit of my sanity and feel so shaky,proclaim lost bit sanity feel shaky,negative,"fear
"
1594,1595,i am feeling rather delicate due to alot of white wine and a considerable amount of dancing one of my best friends ended up in a amp e due to a fractured wrist caused by excessive dancing,feeling rather delicate due alot white wine considerable amount dancing one best friend ended amp due fractured wrist caused excessive dancing,positive,"love
"
1595,1596,i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,told continues fact feel fear frightened correction terrified next,negative,"fear
"
1596,1597,i feel uncomfortable with the fact i am so powerless at the moment,feel uncomfortable fact powerless moment,negative,"fear
"
1597,1598,as a child i suffered of nightmares even since than,child suffered nightmare even since,negative,"fear
"
1598,1599,i feel resentful and really work that resentment until i blow up,feel resentful really work resentment blow,negative,"anger
"
1599,1600,i just feel so fucked up these days,feel fucked day,negative,"anger
"
1600,1601,i worked out monday and tuesday but i was feeling so crappy on wednesday that i went home and decided to make it a rest day,worked monday tuesday feeling crappy wednesday went home decided make rest day,negative,"sadness
"
1601,1602,i feel that each point is equally important than each,feel point equally important,positive,"joy
"
1602,1603,i spent all day the other day feeling very morose because every once in awhile it would hit me that hilmari is dead,spent day day feeling morose every awhile would hit hilmari dead,negative,"sadness
"
1603,1604,i feel so gloomy this independence day,feel gloomy independence day,negative,"sadness
"
1604,1605,i feel almost embarrassed at my own contribution because its ridiculously unsophisticated and it is pretty much immune to alteration by any of the things that are happening here,feel almost embarrassed contribution ridiculously unsophisticated pretty much immune alteration thing happening,negative,"sadness
"
1605,1606,i am in no way complaining or whining or feeling ungrateful,way complaining whining feeling ungrateful,negative,"sadness
"
1606,1607,i am very fascinated by it and don t feel so uptight by the many challenges life has because of it,fascinated feel uptight many challenge life,negative,"fear
"
1607,1608,i feel better now,feel better,positive,"joy
"
1608,1609,i dont know what crazy girl i think her name was katja does for a living i feel like she should just do what i do in real life and be some sort of disheartened disallusioned clerk,dont know crazy girl think name katja doe living feel like real life sort disheartened disallusioned clerk,negative,"sadness
"
1609,1610,i want to feel like i m reading something worthwhile,want feel like reading something worthwhile,positive,"joy
"
1610,1611,i felt low at this point with missing people i know and i love but feeling helpless to do it,felt low point missing people know love feeling helpless,negative,"fear
"
1611,1612,i remember that beauty truly is in the eye of the beholder people see the beautiful compliment as a statement of how valuable they find that person and people don t want to kick someone when they are feeling vulnerable,remember beauty truly eye beholder people see beautiful compliment statement valuable find person people want kick someone feeling vulnerable,negative,"fear
"
1612,1613,i am thinking about everyones future and not my own i feel so alone useless and am wondering what the hell am i doing wrong that i only feel like a roommate and nothing else,thinking everyones future feel alone useless wondering hell wrong feel like roommate nothing else,negative,"sadness
"
1613,1614,i know they mean no harm but i cant help but feel offended,know mean harm cant help feel offended,negative,"anger
"
1614,1615,i feel i was intimidated by the college and people at home,feel intimidated college people home,negative,"fear
"
1615,1616,i feel like i m in a band that broke up without telling me and now i am fighting to keep everyone together even though they want no part in it,feel like band broke without telling fighting keep everyone together even though want part,negative,"sadness
"
1616,1617,ive been having trouble sleeping my anxiety is causing my social life to suffer i lack the motivation that used to drive me work is quickly becoming a chore where i was once satisfied and i feel dull and uninteresting,ive trouble sleeping anxiety causing social life suffer lack motivation used drive work quickly becoming chore satisfied feel dull uninteresting,negative,"sadness
"
1617,1618,i feel like reading anansi boys again its gorgeous,feel like reading anansi boy gorgeous,positive,"joy
"
1618,1619,i feel so violent but im a paper tiger,feel violent paper tiger,negative,"anger
"
1619,1620,i feel a bit ashamed that its taken us nearly a month to build this thing but with nathans crazy work schedule and my limited abilities with power tools we were only able to work on it for short spurts at a time,feel bit ashamed taken nearly month build thing nathans crazy work schedule limited ability power tool able work short spurt time,negative,"sadness
"
1620,1621,i feel useless standing on the sidelines like a wet lettuce while someone does something i am quite capable of,feel useless standing sideline like wet lettuce someone doe something quite capable,negative,"sadness
"
1621,1622,im feeling the need to mellow out i find something on the ipod that suits me or when im ready to pump it up ive always got a go to tune or two to get me reved up,feeling need mellow find something ipod suit ready pump ive always got tune two get reved,positive,"joy
"
1622,1623,i feel like i have been emotionally beaten to a pulp,feel like emotionally beaten pulp,negative,"sadness
"
1623,1624,i go to my son s conference next week and i am already feeling nervous and apprehensive,son conference next week already feeling nervous apprehensive,negative,"fear
"
1624,1625,i feel disgusted at him and at myself for having been with him and continuing to be something he wants in his life,feel disgusted continuing something want life,negative,"anger
"
1625,1626,i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,intensely conscious much cash left gas food envelope still intended save next week help feel stressed scared,negative,"anger
"
1626,1627,i feel all mellow and calm,feel mellow calm,positive,"joy
"
1627,1628,im feeling a little more adventurous,feeling little adventurous,positive,"joy
"
1628,1629,i just feel really lame,feel really lame,negative,"sadness
"
1629,1630,i leave them i feel invigorated,leave feel invigorated,positive,"joy
"
1630,1631,i have made a few sets of his and hers wedding rings recently and i always feel so honored to be asked to make what is probably the most personal piece of jewellery that anyone ever buys,made set wedding ring recently always feel honored asked make probably personal piece jewellery anyone ever buy,positive,"joy
"
1631,1632,i was pregnant with my first i remember thinking a lot that i didn t have to feel so sentimental about the time passing so quickly because there would be another pregnancy yes i am one of those crazy people that loves being pregnant,pregnant first remember thinking lot feel sentimental time passing quickly would another pregnancy yes one crazy people love pregnant,negative,"sadness
"
1632,1633,i needed supportive caring understanding loving he made me feel i broke up with him because despite it all i could tell he was stressed and whatever place i held in his heart before i no longer kept,needed supportive caring understanding loving made feel broke despite could tell stressed whatever place held heart longer kept,negative,"sadness
"
1633,1634,i like that these type of assumptions because it makes me feels a bit more positive,like type assumption make feel bit positive,positive,"joy
"
1634,1635,i just sort of feel lame in comparison to other bloggers,sort feel lame comparison blogger,negative,"sadness
"
1635,1636,i chose to share that little personal snippet in my phone because i know i m not the only one that feels this way and i know i m not the only one that was petrified to face it,chose share little personal snippet phone know one feel way know one petrified face,negative,"fear
"
1636,1637,i remember a totally different feel having been a faithful dukes watcher growing up,remember totally different feel faithful duke watcher growing,positive,"joy
"
1637,1638,ive found myself at the other end of it all i feel like i missed out on winter,ive found end feel like missed winter,negative,"sadness
"
1638,1639,i have been feeling discouraged lately but a quick visit from my sister and nephew this weekend definitely cheered me up,feeling discouraged lately quick visit sister nephew weekend definitely cheered,negative,"sadness
"
1639,1640,i am feeling sorry for myself because someone made fun of my outfit,feeling sorry someone made fun outfit,negative,"sadness
"
1640,1641,i feel uncertain and not entirely safe,feel uncertain entirely safe,negative,"fear
"
1641,1642,i feel like the audience is smart enough and knows the characters well enough to figure out who were reading,feel like audience smart enough know character well enough figure reading,positive,"joy
"
1642,1643,im feeling so sally field like these days surprised by all the love and always with a brown mop of hair atop my head,feeling sally field like day surprised love always brown mop hair atop head,positive,"surprise
"
1643,1644,i feel so regretful for things i cannot remember because i was so drunk,feel regretful thing remember drunk,negative,"sadness
"
1644,1645,i feel like im not being the joyful me maybe its the hormones just act like how you feel never lie to yourself,feel like joyful maybe hormone act like feel never lie,positive,"joy
"
1645,1646,i feel the moment that i know im real they judge without supporting facts ive cut there is no going back,feel moment know real judge without supporting fact ive cut going back,positive,"love
"
1646,1647,i feel are chased away by the friendly hand that clutched mine,feel chased away friendly hand clutched mine,positive,"joy
"
1647,1648,i am feeling a little grumpy but that could be pms too,feeling little grumpy could,negative,"anger
"
1648,1649,i bore my testimony that listening is one of the most important things we can do and if we feel impressed to do something even if we are unsure about it by learning to follow those impressions we will learn whether it is of ourselves or of the spirit,bore testimony listening one important thing feel impressed something even unsure learning follow impression learn whether spirit,positive,"surprise
"
1649,1650,im feeling brave this would be nice with black tips,feeling brave would nice black tip,positive,"joy
"
1650,1651,i feel it needs to be respected for its own sake,feel need respected sake,positive,"joy
"
1651,1652,i do however feel a lot more isolated and distant to many of those i call friends,however feel lot isolated distant many call friend,negative,"sadness
"
1652,1653,i felt that aching feeling anymore and i had to think about it but no i dont have that aching feeling unless i am missing my family,felt aching feeling anymore think dont aching feeling unless missing family,negative,"sadness
"
1653,1654,i feel like the sequel was ok but overrated not as great as so many deem it to be,feel like sequel overrated great many deem,positive,"joy
"
1654,1655,i feel im pretty spot on in this instance but im just guessing,feel pretty spot instance guessing,positive,"joy
"
1655,1656,i know thats not true but thats how i feel i get scared,know thats true thats feel get scared,negative,"fear
"
1656,1657,im feeling generous again here it is in its entirety for free consumption,feeling generous entirety free consumption,positive,"joy
"
1657,1658,i feel that i can answer in a completely un sarcastic way,feel answer completely sarcastic way,negative,"anger
"
1658,1659,i feel so cute,feel cute,positive,"joy
"
1659,1660,i have had my first visitor to my live journal and that makes me feel very pleasant,first visitor live journal make feel pleasant,positive,"joy
"
1660,1661,i was feeling eager to press on,feeling eager press,positive,"joy
"
1661,1662,i wish we could have a huge collective book club about it because i think these conversations are critical during a time when people are feeling increasingly fearful unsettled and disconnected,wish could huge collective book club think conversation critical time people feeling increasingly fearful unsettled disconnected,negative,"fear
"
1662,1663,i feel a little more relaxed,feel little relaxed,positive,"joy
"
1663,1664,i do feel like less of a person when i constantly hear family members use hateful language every time anything even remotely related to homosexuality comes up,feel like person constantly hear family member use hateful language every time anything even remotely related homosexuality come,negative,"anger
"
1664,1665,i havent been feeling fantastic this week so i thought id do something different and easier to write that i thought could be fun,havent feeling fantastic week thought something different easier write thought could fun,positive,"joy
"
1665,1666,i was feeling frustrated,feeling frustrated,negative,"anger
"
1666,1667,i feel devastated that this occured but it was for a good cause hopefully no more dogs run around acting like that so they too dont get shot down,feel devastated occured good cause hopefully dog run around acting like dont get shot,negative,"sadness
"
1667,1668,i created a new profile before and i feel ok cuz i already know who i added,created new profile feel cuz already know added,positive,"joy
"
1668,1669,i feel very lonely but thats alright nothing a little tv or music cant fix,feel lonely thats alright nothing little music cant fix,negative,"sadness
"
1669,1670,i feel a bit shamed but here it is dr,feel bit shamed,negative,"sadness
"
1670,1671,i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,feel thankful part country train outdoors late year bundle wear several layer,positive,"joy
"
1671,1672,i feel like i m uncertain about things i was once so certain,feel like uncertain thing certain,negative,"fear
"
1672,1673,i feel energetic and fresh and the great things is my eye sight has improved a lot,feel energetic fresh great thing eye sight improved lot,positive,"joy
"
1673,1674,i get an upset stomach afterward complete with feeling like i want to throw up and i still have that pleasant memory of the first one i had that did make me throw up,get upset stomach afterward complete feeling like want throw still pleasant memory first one make throw,positive,"joy
"
1674,1675,i have a million untrieds to get through so ive decided to make a list and im using a random number generator when im feeling indecisive,million untrieds get ive decided make list using random number generator feeling indecisive,negative,"fear
"
1675,1676,i am also feeling awful,also feeling awful,negative,"sadness
"
1676,1677,i was already feeling burdened to write write write,already feeling burdened write write write,negative,"sadness
"
1677,1678,i really am a hard worker and feel quite loyal to places i work,really hard worker feel quite loyal place work,positive,"love
"
1678,1679,i feel sorry for john boehner his copious tears running over and blurring his spray tanned face until its the same color as his nicotine stained fingers all the while eric cantor is waiting to push him out of the speakership,feel sorry john boehner copious tear running blurring spray tanned face color nicotine stained finger eric cantor waiting push speakership,negative,"sadness
"
1679,1680,i feel times less bitchy,feel time bitchy,negative,"anger
"
1680,1681,i do not feel rejected anymore for i decide what my value is,feel rejected anymore decide value,negative,"sadness
"
1681,1682,i felt such a resonance with your words i feel so ashamed that my feelings seem to have gotten the better of me,felt resonance word feel ashamed feeling seem gotten better,negative,"sadness
"
1682,1683,i just feel so irritable which i guess is a classic symptom of depression,feel irritable guess classic symptom depression,negative,"anger
"
1683,1684,i sat on a windy beach feeling thoroughly annoyed i vowed id be back and i would climb scafell,sat windy beach feeling thoroughly annoyed vowed back would climb scafell,negative,"anger
"
1684,1685,i see myself starting to feel the emotional dependence on my parents i stop and breathe,see starting feel emotional dependence parent stop breathe,negative,"sadness
"
1685,1686,i feel passionate about sharing it with you,feel passionate sharing,positive,"love
"
1686,1687,i feel like i am alone in this world other days i feel like i am surrounded or being closed in on and just want to be alone,feel like alone world day feel like surrounded closed want alone,negative,"sadness
"
1687,1688,i feel so blessed as i ve said numerous times before that i have met so many nice and caring people through the blogging world,feel blessed said numerous time met many nice caring people blogging world,positive,"love
"
1688,1689,i like when im feeling productive even though i sometimes grumble about not having time to scratch my butt,like feeling productive even though sometimes grumble time scratch butt,positive,"joy
"
1689,1690,i feel useless and helpless and broken,feel useless helpless broken,negative,"sadness
"
1690,1691,im not feeling quite so adventurous i might just find a quiet spot to read,feeling quite adventurous might find quiet spot read,positive,"joy
"
1691,1692,i feel like my beloved mixer is an extension of my body,feel like beloved mixer extension body,positive,"love
"
1692,1693,i have said this before being a mom has made me feel more vulnerable than i have ever felt before,said mom made feel vulnerable ever felt,negative,"fear
"
1693,1694,i feel very amused at that pic,feel amused pic,positive,"joy
"
1694,1695,i do feel apprehensive before meeting someone new particularly in a group situation but i just sign up for everything i can and hope that i ll have found the courage to do it by the time it comes round and i always have so far,feel apprehensive meeting someone new particularly group situation sign everything hope found courage time come round always far,negative,"fear
"
1695,1696,i feel valuable a href http idreamculture,feel valuable href http idreamculture,positive,"joy
"
1696,1697,i love my job and know that the surgeries were doing are emergencies i always feel resentful especially when it is am and i was sleeping,love job know surgery emergency always feel resentful especially sleeping,negative,"anger
"
1697,1698,i feel enormously honoured to be included in this list,feel enormously honoured included list,positive,"joy
"
1698,1699,i was actually feeling somewhat listless and unmotivated earlier this afternoon but then i had a cup of coffee medium strength coffee at that and now im bursting at the seams,actually feeling somewhat listless unmotivated earlier afternoon cup coffee medium strength coffee bursting seam,negative,"sadness
"
1699,1700,i may attempt a hair coloring session later if i m feeling brave crazy saturday nights over here,may attempt hair coloring session later feeling brave crazy saturday night,positive,"joy
"
1700,1701,i am feeling optimistic about doing as much as possible in the next to hours before the kids come home,feeling optimistic much possible next hour kid come home,positive,"joy
"
1701,1702,im not feeling absolutely terrified of more pain and more trauma to my already battered body,feeling absolutely terrified pain trauma already battered body,negative,"fear
"
1702,1703,i got off in my previous post about how much the app maker leeches upset me at this conference and so i feel like i should mention who i was most impressed with there,got previous post much app maker leech upset conference feel like mention impressed,positive,"surprise
"
1703,1704,i went with one of those because honestly i was feeling very sentimental about family that morning,went one honestly feeling sentimental family morning,negative,"sadness
"
1704,1705,i landed at the reagan airport feeling pretty good,landed reagan airport feeling pretty good,positive,"joy
"
1705,1706,i can see changes on my legs they have slimmed down a bit but i feel a little disheartened that its not that visible,see change leg slimmed bit feel little disheartened visible,negative,"sadness
"
1706,1707,i can look at a stack of twenty five term papers and not feel overwhelmed,look stack twenty five term paper feel overwhelmed,positive,"surprise
"
1707,1708,my cat died from an illness it had been with us for years it was a lovely cat it had been ill for one or two weeks and the veterinary surgeon had told us that it was dying,cat died illness year lovely cat ill one two week veterinary surgeon told dying,negative,"sadness
"
1708,1709,i just feel that the roster looks messy with characters on there from to new members it might look as though we cant be bothered to housekeep it and there is a risk albeit very small that we might get an ebayed toon turning up in guild on an old members toon,feel roster look messy character new member might look though cant bothered housekeep risk albeit small might get ebayed toon turning guild old member toon,negative,"sadness
"
1709,1710,i feel a worthless maid,feel worthless maid,negative,"sadness
"
1710,1711,i feel lousy and seem to have a frown i remember all the funny times and you just turn it upside down,feel lousy seem frown remember funny time turn upside,negative,"sadness
"
1711,1712,i could say that will make anyone feel better than actually reaching their goal themselves,could say make anyone feel better actually reaching goal,positive,"joy
"
1712,1713,i feel agitated she said and we continued on to the corner of main and hastings where we saw three or four cops in the middle of a take down and my friend who has an anxiety disorder insisted we get on the wrong bus just to get away,feel agitated said continued corner main hastings saw three four cop middle take friend anxiety disorder insisted get wrong bus get away,negative,"fear
"
1713,1714,i almost fall asleep but i feel so awkward sleeping beside her,almost fall asleep feel awkward sleeping beside,negative,"sadness
"
1714,1715,i feel blank and at a loss but hey that s old hat,feel blank loss hey old hat,negative,"sadness
"
1715,1716,when people harrass me i feel oppressed by their behavior,people harrass feel oppressed behavior,negative,"anger
"
1716,1717,i am going to be a little selective about who i let read just for privacys sake but if you can relate to me why you want to read and if i feel your motivations are safe and okay then i will send you an invite,going little selective let read privacy sake relate want read feel motivation safe okay send invite,positive,"joy
"
1717,1718,i dream i feel like i am finally not burdened by all of the things that i feel just crushing me when im awake,dream feel like finally burdened thing feel crushing awake,negative,"sadness
"
1718,1719,im lulled into a fantasy of walking hand in hand in some remote location preferably the beach at sunset its cliched i know and feeling love and loving in return,lulled fantasy walking hand hand remote location preferably beach sunset cliched know feeling love loving return,positive,"love
"
1719,1720,i am feeling incredibly restless,feeling incredibly restless,negative,"fear
"
1720,1721,i feel so enraged that i want to punch him but i don t because he s only years old,feel enraged want punch year old,negative,"anger
"
1721,1722,i feel all submissive,feel submissive,negative,"sadness
"
1722,1723,ive been feeling really pumped about running again this is very strange,ive feeling really pumped running strange,negative,"fear
"
1723,1724,i didnt feel discouraged or depressed though there are always challenges to be sure,didnt feel discouraged depressed though always challenge sure,negative,"sadness
"
1724,1725,i landed in dubai that i started to feel ok about coming here,landed dubai started feel coming,positive,"joy
"
1725,1726,i feel more useful,feel useful,positive,"joy
"
1726,1727,i could just feel the joy rage coming at me for that one but i m glad you re feeling back at it and i m also glad we went to yoga tonight because sometimes you just need to know that you re better than your crossfit coach at side plank img src http s,could feel joy rage coming one glad feeling back also glad went yoga tonight sometimes need know better crossfit coach side plank img src http,positive,"joy
"
1727,1728,i tell the people closest to me things that i am feeling and its as if they arent surprised because theyd known it all along,tell people closest thing feeling arent surprised theyd known along,positive,"surprise
"
1728,1729,i feel contented small old rich tired and happy,feel contented small old rich tired happy,positive,"joy
"
1729,1730,i hate to have to clear my voice i hate to stammer i hate to feel the way i do now humiliated and frightened to the bones what do you want of me,hate clear voice hate stammer hate feel way humiliated frightened bone want,negative,"sadness
"
1730,1731,i wish i could help take the pain and anguish these families must be feeling innocent children killed while in school where they should be safe,wish could help take pain anguish family must feeling innocent child killed school safe,positive,"joy
"
1731,1732,i grappled with was guilt that relatives and friends who usually communicate with me there would feel like i was ignoring them and i felt selfish still posting my burlesque and blog updates there without liking their photos and links,grappled guilt relative friend usually communicate would feel like ignoring felt selfish still posting burlesque blog update without liking photo link,negative,"anger
"
1732,1733,i tired of hearing of these unique communications special feelings and how sincere you are,tired hearing unique communication special feeling sincere,positive,"joy
"
1733,1734,i feel so blessed to have been able to help,feel blessed able help,positive,"joy
"
1734,1735,i used to feel from your music is now gone and it has been replaced by a bitter taste in my mouth and a lot of sadness,used feel music gone replaced bitter taste mouth lot sadness,negative,"anger
"
1735,1736,i even get jealous when my bf speaks to his best friend who is a girl and also friend of mine but i listen and understand their friendship because my trust towards my bf is higher than me feeling jealous,even get jealous speaks best friend girl also friend mine listen understand friendship trust towards higher feeling jealous,negative,"anger
"
1736,1737,i feel really discouraged and hope is the only thing i have to hold onto,feel really discouraged hope thing hold onto,negative,"sadness
"
1737,1738,i feel surprised and disturbed actually,feel surprised disturbed actually,positive,"surprise
"
1738,1739,i also feel vulnerable being left on the bed in virtual silence,also feel vulnerable left bed virtual silence,negative,"fear
"
1739,1740,i feel like im pretty weird and open about liking a lot of things i doubt any of my interests would surprise anyone,feel like pretty weird open liking lot thing doubt interest would surprise anyone,positive,"surprise
"
1740,1741,i really feel for these innocent kids because not only are they taught unconscious racism but then they are taught overt racism and they have no choice but to follow,really feel innocent kid taught unconscious racism taught overt racism choice follow,positive,"joy
"
1741,1742,i feel intimidated by the wide open design and therefore find it hard to write,feel intimidated wide open design therefore find hard write,negative,"fear
"
1742,1743,i feel like the awkward year old i was and some days i really feel like a grown up,feel like awkward year old day really feel like grown,negative,"sadness
"
1743,1744,i really just want someone to hold me and kiss me to make me feel loved and safe,really want someone hold kiss make feel loved safe,positive,"love
"
1744,1745,i wanted to feel convinced that she had truly found herself and her place in the world without a man but considering that the book started and ended with a relationship i was not thoroughly convinced,wanted feel convinced truly found place world without man considering book started ended relationship thoroughly convinced,positive,"joy
"
1745,1746,i have faith but don t feel convinced that its if i am on here asking questions,faith feel convinced asking question,positive,"joy
"
1746,1747,i feel that i want what i need and know that i just need to bleed in this fucked up world of my own,feel want need know need bleed fucked world,negative,"anger
"
1747,1748,i got a little bit of help from my brother at the beginning and lots of lucks near the end of the game which might make you feel dumb at least it did that to me hahaha and at the end you have to decide nikos and the worlds fate to save niko or to save the world,got little bit help brother beginning lot luck near end game might make feel dumb least hahaha end decide nikos world fate save niko save world,negative,"sadness
"
1748,1749,i do feel rather nostalgic for the days gone by which will never return,feel rather nostalgic day gone never return,positive,"love
"
1749,1750,i could soon feel quite rejected,could soon feel quite rejected,negative,"sadness
"
1750,1751,i just can feel so pain but nothing to do blank and speechless,feel pain nothing blank speechless,negative,"sadness
"
1751,1752,i feel honored or insulted,feel honored insulted,positive,"joy
"
1752,1753,i felt a little bit of cramping and the same feelings i had been feeling for weeks so was not bothered by it,felt little bit cramping feeling feeling week bothered,negative,"anger
"
1753,1754,id always been proud of where im coming from but now sometimes i feel im too dorky boring hipster in the wrong way awkward and then i wonder why dont people feel close to me,always proud coming sometimes feel dorky boring hipster wrong way awkward wonder dont people feel close,negative,"sadness
"
1754,1755,i feel like a useless bastard,feel like useless bastard,negative,"sadness
"
1755,1756,i feel that the students in this classroom are very hostile towards any display of intellect just like the rest of society,feel student classroom hostile towards display intellect like rest society,negative,"anger
"
1756,1757,i feel kinda strange too cause i didnt encountered with such feelings last year,feel kinda strange cause didnt encountered feeling last year,positive,"surprise
"
1757,1758,i feel like garbage i am wonderful though i feel weak i am strong though i feel like a failure i succeed and though i feel unworthy i will live out my dream it ends and begins now,feel like garbage wonderful though feel weak strong though feel like failure succeed though feel unworthy live dream end begin,positive,"joy
"
1758,1759,i feel like this never get impatient around sharp objects as it will inevitably lead to tears,feel like never get impatient around sharp object inevitably lead tear,negative,"anger
"
1759,1760,i don t think i could feel more idiotic if i tried,think could feel idiotic tried,negative,"sadness
"
1760,1761,i was sipping my diet coke watching my the swimming lessons and feeling aggravated that my mousekins were not being better listeners the thought crossed my mind,sipping diet coke watching swimming lesson feeling aggravated mousekins better listener thought crossed mind,negative,"anger
"
1761,1762,i think guys who feel need to compensate do it by being obnoxious,think guy feel need compensate obnoxious,negative,"anger
"
1762,1763,i feel shitty as fuck,feel shitty fuck,negative,"sadness
"
1763,1764,i feel so invigorated by the sunshine,feel invigorated sunshine,positive,"joy
"
1764,1765,i am not sure why i feel the need to share this experience with the world maybe its just that now that its over its actually pretty funny,sure feel need share experience world maybe actually pretty funny,positive,"surprise
"
1765,1766,i don t know if he knew about buffy but i for one was feeling nervous about how the whole multiple dogs on a flight thing was going to pan out,know knew buffy one feeling nervous whole multiple dog flight thing going pan,negative,"fear
"
1766,1767,i feel like i m accomplishing something and when i feel passionate about life,feel like accomplishing something feel passionate life,positive,"joy
"
1767,1768,i feel a strong connection with another human being and i want to spend more time with her,feel strong connection another human want spend time,positive,"joy
"
1768,1769,waiting for my girlfriend to come from her apt to mine she was very late and i thought something awful had happened,waiting girlfriend come apt mine late thought something awful happened,negative,"fear
"
1769,1770,i feel all glamorous,feel glamorous,positive,"joy
"
1770,1771,ive been feeling jealous lately of bloggers going off to author readings and book si,ive feeling jealous lately blogger going author reading book,negative,"anger
"
1771,1772,i feel so doomed for my botany lec finals later,feel doomed botany lec final later,negative,"sadness
"
1772,1773,im re reading that sentence and feeling foolish,reading sentence feeling foolish,negative,"sadness
"
1773,1774,i feel glad to be teaching nursery children who have special needs and know that the study of art has better helped me to use art in the curriculum to make lessons more enjoyable and interesting for the pupils,feel glad teaching nursery child special need know study art better helped use art curriculum make lesson enjoyable interesting pupil,positive,"joy
"
1774,1775,i came away from this evening feeling very rich that i have a friend down the street that is so very close to me,came away evening feeling rich friend street close,positive,"joy
"
1775,1776,i came back and for some reason my mind feels blank,came back reason mind feel blank,negative,"sadness
"
1776,1777,i feel like i want to punch him in his handsome face,feel like want punch handsome face,positive,"joy
"
1777,1778,i do when i feel guilty a href http douevenlift,feel guilty href http douevenlift,negative,"sadness
"
1778,1779,i had an incredible feeling of frantic despair,incredible feeling frantic despair,negative,"fear
"
1779,1780,i have struggled to fit all the work in for this module and have felt frustrated at times feeling that my blogs were rushed and although i have read with great interested fellow students blogs i feel i havent interacted as much as i could have done this is a definite area for development,struggled fit work module felt frustrated time feeling blog rushed although read great interested fellow student blog feel havent interacted much could done definite area development,negative,"anger
"
1780,1781,i feel like i have gotten rejected by him over and over again from the time i have met him,feel like gotten rejected time met,negative,"sadness
"
1781,1782,i feel optimistic that he ll settle in before too long once we ve arrived,feel optimistic settle long arrived,positive,"joy
"
1782,1783,i am feeling a little stressed but seriously i have no one or nothing to blame but myself,feeling little stressed seriously one nothing blame,negative,"anger
"
1783,1784,i feel im being violent is i say no im not going to accept that and here are the consequences,feel violent say going accept consequence,negative,"anger
"
1784,1785,i wonder if they would feels as delicate and pretty in my hand as they looked upon the framework of branches,wonder would feel delicate pretty hand looked upon framework branch,positive,"love
"
1785,1786,i feel im back to being that bouncy little chickie i was when i first found the scene but with a lot more depth and understanding of myself and the world around me,feel back bouncy little chickie first found scene lot depth understanding world around,positive,"joy
"
1786,1787,i feel have been convinced by many factors in our culture of a kind of cooking mystique,feel convinced many factor culture kind cooking mystique,positive,"joy
"
